Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,magic_feature
0,2,1,29.69911764705882,0,0,239855,0,3,1
1,2,0,28,1,0,3381,24,0,0
1,1,0,22,0,0,113781,151.55,3,0
1,2,1,31,0,0,244270,13,3,0
0,1,1,31,1,0,12750,52,3,1
0,3,1,29.69911764705882,0,0,334912,7.7333,1,1
0,1,1,38,0,1,17582,153.4625,3,0
1,1,0,38,0,0,113572,80,3,1
1,1,1,29.69911764705882,0,0,16988,30,3,0
0,3,1,28,0,0,345770,9.5,3,1
1,3,0,2,0,1,3101298,12.2875,3,1
1,2,0,30,3,0,31027,21,3,0
0,3,1,30,0,0,7076,7.25,3,1
0,3,1,29.69911764705882,0,0,3411,8.7125,0,1
1,1,1,27,0,0,17572,76.7292,0,0
1,1,1,49,1,0,17453,89.1042,0,0
0,2,1,29.69911764705882,0,0,239853,0,3,1
1,2,0,17,0,0,14885,10.5,3,0
1,3,0,4,0,2,315153,22.025,3,1
0,1,1,40,0,0,112059,0,3,0
1,1,1,28,0,0,113788,35.5,3,1
0,3,0,2,4,2,347082,31.275,3,1
0,1,1,24,0,0,17593,79.2,0,1
1,3,0,27,0,1,392096,12.475,3,0
0,3,1,20,0,0,6563,9.225,3,1
0,3,1,22,0,0,14973,8.05,3,1
0,2,1,23,0,0,244278,10.5,3,1
1,2,0,28,0,0,230434,13,3,0
1,1,0,22,1,0,113776,66.6,3,1
0,3,1,29.69911764705882,0,0,349208,7.8958,3,1
1,3,1,20,1,0,3101285,7.925,3,0
0,1,1,27,0,2,113503,211.5,0,1
1,2,1,0.83,0,2,248738,29,3,0
0,3,1,29.69911764705882,0,0,374910,8.05,3,1
1,3,0,15,0,0,330923,8.0292,1,0
0,3,0,9,4,2,347082,31.275,3,0
1,1,1,45,0,0,111428,26.55,3,1
1,2,0,45,0,0,223596,13.5,3,1
0,1,1,29.69911764705882,0,0,17483,221.7792,3,1
0,3,1,65,0,0,336439,7.75,1,1
0,3,1,25,0,0,392076,7.05,3,1
1,3,0,4,1,1,9549,16.7,3,0
1,1,0,53,2,0,11769,51.4792,3,1
0,2,1,31,0,0,18723,10.5,3,1
0,3,1,49,0,0,0,0,3,1
1,1,0,54,1,0,36947,78.2667,0,0
0,3,1,4,3,2,347088,27.9,3,1
0,3,1,29.69911764705882,0,0,34244,7.25,3,1
0,1,1,29.69911764705882,0,0,113028,26.55,3,1
1,1,0,35,1,0,19943,90,3,0
0,3,1,29.69911764705882,1,0,376564,16.1,3,1
0,3,1,25,0,0,2672,7.225,0,1
0,1,1,19,1,0,113773,53.1,3,1
1,1,1,27,0,0,113804,30.5,3,1
1,1,0,63,1,0,13502,77.9583,3,0
0,3,1,35,0,0,364512,8.05,3,1
0,1,1,51,0,1,17597,61.3792,0,1
0,3,1,29.69911764705882,0,0,364498,14.5,3,1
0,3,1,29.69911764705882,2,0,2662,21.6792,0,1
1,2,0,40,1,1,29750,39,3,0
0,3,1,29.69911764705882,0,0,384461,7.75,1,1
